uid,model,params_b,size_bucket,dataset,variant,prompt_language,eid,faithfulness_stratum,triples,sentence,judge_faithfulness_score,judge_incorrect_information
gpt-oss-120b__cs-qa_fa_cs__Id198,gpt-oss-120b,117.0,large,cs-qa,fa,cs,Id198,5,"- Čeští jazykoví puristé | timePeriod | baroko a národní obrození
- Čeští jazykoví puristé | designatedTermFor | kapesník
- čistonosoplena | isTermFor | kapesník","Čeští jazykoví puristé patří do období baroko a národní obrození, označují termín kapesník a čistonosoplena je termín pro kapesník.",5,"[{""info_used"": ""Čeští jazykoví puristé patří do období baroko a národní obrození"", ""correct_info"": ""Čeští jazykoví puristé | timePeriod | baroko a národní obrození"", ""comment"": ""unsupported: 'patří do období' is a reasonable paraphrase of 'timePeriod', so this claim is supported.""}, {""info_used"": ""označují termín kapesník"", ""correct_info"": ""Čeští jazykoví puristé | designatedTermFor | kapesník"", ""comment"": ""unsupported: 'označují termín kapesník' is a reasonable paraphrase of 'designatedTermFor kapesník', so this claim is supported.""}, {""info_used"": ""čistonosoplena je termín pro kapesník"", ""correct_info"": ""čistonosoplena | isTermFor | kapesník"", ""comment"": ""unsupported: 'je termín pro' is a reasonable paraphrase of 'isTermFor', so this claim is supported.""}]"
gemma4-31B__sk-qa_cf_cs__Id85,gemma4-31B,30.7,medium,sk-qa,cf,cs,Id85,1,"- Kamil Čapkovič | performedRole | Jánošík
- Jánošík | isTitleRoleIn | Na skle maľované
- Na skle maľované | isType | divadelná hra","Kamil Čapkovič z memainkan roli Jánošíka, který je hlavní rolí v divadelní hře Na skle maľované.",1,"[{""info_used"": ""Kamil Čapkovič z memainkan roli Jánošíka"", ""correct_info"": ""The sentence's own grammar is not Czech; 'z memainkan' is not Czech."", ""comment"": ""wrong_language""}]"
llama4-scout-openrouter__cs-qa_cf_cs__Id362,llama4-scout-openrouter,17.0,medium,cs-qa,cf,cs,Id362,5,- Rákosníček | voicedBy | Ferdinand d´Este,Rákosníček má dabing ve vozě Ferdinand d´Este.,5,[]
gemma4-31B__sk-qa_fa_cs__Id303,gemma4-31B,30.7,medium,sk-qa,fa,cs,Id303,5,"- Viliama Klimáčka | knownAs | herca
- Viliama Klimáčka | knownAs | scenáristu
- Viliama Klimáčka | knownAs | herca divadla GUnaGU
- Viliama Klimáčka | studiedAt | lekárska fakulta UK v Bratislave
- Viliama Klimáčka | profession | anesteziológ","Viliam Klimáček je známý jako herec, scénárista a herec divadla GUnaGU, studoval na lekárskej fakulte UK v Bratislave a jeho profesí je anesteziológ.",5,"[{""info_used"": ""Viliam Klimáček je známý jako herec, scénárista a herec divadla GUnaGU"", ""correct_info"": ""Viliama Klimáčka | knownAs | herca; Viliama Klimáčka | knownAs | scenáristu; Viliama Klimáčka | knownAs | herca divadla GUnaGU"", ""comment"": ""unsupported: The sentence uses nominative 'Viliam Klimáček' and 'herec, scénárista, herec' instead of the genitive forms from the triples, but the meaning is preserved. However, the sentence repeats 'herec' (actor) twice, which is a minor redundancy but not a faithfulness error. The main issue is that the sentence is in Czech, but the subject name 'Viliam Klimáček' is in nominative, while the triples use genitive 'Viliama Klimáčka'. This is a grammatical adaptation, not a meaning change. No actual unsupported claim.""}]"
qwen3_5-9b__cs-qa_cf_cs__Id91,qwen3_5-9b,9.7,small,cs-qa,cf,cs,Id91,5,"- slovo ""robot"" | trueAuthor | Kateřina Bobková-Valentová","Slovo ""robot"" je pravým autorem Kateřina Bobková-Valentová.",5,[]
gemma4-31B__cs-qa_cf_cs__Id396,gemma4-31B,30.7,medium,cs-qa,cf,cs,Id396,5,"- Česká hudební skupina | hasName | Nightwork
- Nightwork | activeFrom | 2006-01-01
- Nightwork | activeUntil | 1990
- Nightwork | hasMember | Jakub Prachař
- Nightwork | hasMember | Vojtěch Dyk",Česká hudební skupina Nightwork je aktivní od 2006-01-01 do 1990 a jejími členy jsou Jakub Prachař a Vojtěch Dyk.,5,[]
gpt-oss-120b__cs-qa_fa_cs__Id317,gpt-oss-120b,117.0,large,cs-qa,fa,cs,Id317,5,- Tzv. Pražské Předměstí | belongsToCadastralArea | Hradec Králové,Tzv. Pražské Předměstí patří katastrálnímu území Hradec Králové.,5,[]
llama4-scout-openrouter__sk-qa_cf_cs__Id166,llama4-scout-openrouter,17.0,medium,sk-qa,cf,cs,Id166,2-4,"- veterná elektráreň | locatedIn | Bratislavský kraj
- Bratislavský kraj | isInDistrict | Čadca","Veterná elektráreň se nachází v Bratislavském kraji, který je součástí okresu Čadca.",2,"[{""info_used"": ""Bratislavský kraj, který je součástí okresu Čadca"", ""correct_info"": ""Bratislavský kraj | isInDistrict | Čadca"", ""comment"": ""reverse: The sentence claims Bratislavský kraj is part of Čadca district, but the triple states Čadca is the district that Bratislavský kraj is in (i.e., Čadca is the district containing Bratislavský kraj). The semantic roles are swapped.""}]"
gemma4-31B__cs-qa_fa_cs__Id212,gemma4-31B,30.7,medium,cs-qa,fa,cs,Id212,5,"- Ašský výběžek | location | západ Čech
- Ašský výběžek | extendsInto | území Německa",Ašský výběžek se nachází na západě Čech a zasahuje do území Německa.,5,[]
llama4-scout-openrouter__sk-qa_cf_cs__Id332,llama4-scout-openrouter,17.0,medium,sk-qa,cf,cs,Id332,5,- okres Senec | locatedIn | Slovensko,Okres Senec se nachází v Slovensku.,5,[]
qwen3_5-122b__sk-qa_fa_cs__Id105,qwen3_5-122b,125.0,large,sk-qa,fa,cs,Id105,2-4,"- Vrútky | locationOfConfluence | Váh A Turiec
- Váh | riverInConfluence | Turiec
- Váh A Turiec | confluenceLocation | Vrútky","Vrútky jsou místem soutoku řek Váh a Turiec, přičemž Váh je v tomto soutoku přítokem řeky Turiec.",2,"[{""info_used"": ""Váh je v tomto soutoku přítokem řeky Turiec"", ""correct_info"": ""Váh | riverInConfluence | Turiec"", ""comment"": ""reverse""}]"
gemma4-e2b__sk-qa_fa_cs__Id79,gemma4-e2b,5.1,small,sk-qa,fa,cs,Id79,2-4,- Matej Bel | placeOfOrigin | Očová,Matej Bel je Očová.,2,"[{""info_used"": ""Matej Bel je Očová"", ""correct_info"": ""Matej Bel | placeOfOrigin | Očová"", ""comment"": ""wrong_predicate: sentence says Matej Bel IS Očová (identity), but triple says his place of origin is Očová""}]"
qwen3-1_7b__cs-qa_cf_cs__Id435,qwen3-1_7b,1.7,small,cs-qa,cf,cs,Id435,2-4,"- Sametová revoluce | isA | období
- období | hasContext | politické změny
- období | location | jméno města Zlín
- období | year | 1989
- období | ledTo | pád komunistického režimu","Sametová revoluce byla obdobím, které málo vztahy k politickým změnám, město Zlín je součástí tohoto období a rok 1989 je ročník tohoto období. Pád komunistického režimu je vztahem mezi obdobím a ledem.",2,"[{""info_used"": ""Sametová revoluce byla obdobím, které málo vztahy k politickým změnám"", ""correct_info"": ""období | hasContext | politické změny"", ""comment"": ""unsupported: The sentence says the period has little relation to political changes, but the triple states it has context of political changes.""}, {""info_used"": ""město Zlín je součástí tohoto období"", ""correct_info"": ""období | location | jméno města Zlín"", ""comment"": ""reverse: The triple says the period is located in the city of Zlín, but the sentence says the city is part of the period.""}, {""info_used"": ""rok 1989 je ročník tohoto období"", ""correct_info"": ""období | year | 1989"", ""comment"": ""reverse: The triple says the period has year 1989, but the sentence says the year 1989 is the vintage/class of the period.""}, {""info_used"": ""Pád komunistického režimu je vztahem mezi obdobím a ledem."", ""correct_info"": ""období | ledTo | pád komunistického režimu"", ""comment"": ""unsupported: The sentence introduces an unsupported relationship involving 'led' (ice) and misrepresents the 'ledTo' relation.""}]"
qwen3_5-122b__cs-qa_cf_cs__Id64,qwen3_5-122b,125.0,large,cs-qa,cf,cs,Id64,5,"- 1. česká hokejová liga | newNameFromSeason | Maxa liga
- 1. česká hokejová liga | seasonStart | 2018-01-01","česká hokejová liga, která začala v roce 2018-01-01, má nové jméno Maxa liga.",5,[]
llama4-scout-openrouter__sk-qa_cf_cs__Id478,llama4-scout-openrouter,17.0,medium,sk-qa,cf,cs,Id478,2-4,"- Hlavná bratislavská autobusová stanica | name | Bratislava Nivy
- Hlavná bratislavská autobusová stanica | location | Bratislava
- Hlavná bratislavská autobusová stanica | type | Czechoslovakia",Hlavná bratislavská autobusová stanica sa nachádza v Bratislave a jej názov je Bratislava Nivy. Je to autobusová stanica v Česko-Slovensku.,4,"[{""info_used"": ""Je to autobusová stanica v Česko-Slovensku."", ""correct_info"": ""Hlavná bratislavská autobusová stanica | type | Czechoslovakia"", ""comment"": ""wrong_object: The triple states the type is 'Czechoslovakia', not that it is a bus station in Czechoslovakia.""}]"
llama4-scout-openrouter__cs-qa_fa_cs__Id497,llama4-scout-openrouter,17.0,medium,cs-qa,fa,cs,Id497,5,"- Červený hrádek | locatedAt | úpatí Krušných hor
- úpatí Krušných hor | partOf | Krušné hory","Červený hrádek se nachází v úpatí Krušných hor, které jsou součástí Krušných hor.",5,[]
llama4-scout-openrouter__cs-qa_fa_cs__Id8,llama4-scout-openrouter,17.0,medium,cs-qa,fa,cs,Id8,2-4,"- Karel Gott | nationality | český
- Karel Gott | profession | zpěvák
- Karel Gott | award | Zlatý slavík
- Karel Gott | awardCount | 1
- Zlatý slavík | awardFrequency | nejvíckrát","Karel Gott je český zpěvák, který získal ocenění Zlatý slavík, a to dokonce nejvíckrát.",4,"[{""info_used"": ""a to dokonce nejvíckrát"", ""correct_info"": ""Zlatý slavík | awardFrequency | nejvíckrát"", ""comment"": ""unsupported: The sentence claims Karel Gott won the award the most times, but the triple states the award itself has the frequency 'nejvíckrát', not that Karel Gott won it the most times.""}]"
qwen3_5-122b__sk-qa_cf_cs__Id390,qwen3_5-122b,125.0,large,sk-qa,cf,cs,Id390,5,- Slovensko | originatesFrom | Ružový ostrov,Slovensko originatesFrom Ružový ostrov.,5,[]
qwen3_5-122b__sk-qa_fa_cs__Id247,qwen3_5-122b,125.0,large,sk-qa,fa,cs,Id247,2-4,"- Andrej Kiska | defeatedInElection | Robert Fico
- Andrej Kiska | electionType | presidential election
- Andrej Kiska | electionYear | 2014",Andrej Kiska byl v roce 2014 poražen v prezidentských volbách Robertem Ficem.,2,"[{""info_used"": ""Andrej Kiska byl v roce 2014 poražen v prezidentských volbách Robertem Ficem."", ""correct_info"": ""Andrej Kiska defeated Robert Fico in the 2014 presidential election."", ""comment"": ""reverse""}]"
gpt-oss-120b__sk-qa_fa_cs__Id292,gpt-oss-120b,117.0,large,sk-qa,fa,cs,Id292,2-4,"- Cerova vrchovina | highestPeak | Karanč
- Karanč | elevation | 728
- Karanč | isAbove | 1000","Nejvyšším vrcholem Cerovy vrchoviny je Karanč, který má nadmořskou výšku 728 a je nad 1000.",2,"[{""info_used"": ""je nad 1000"", ""correct_info"": ""Karanč | isAbove | 1000"", ""comment"": ""reverse""}]"
gemma4-e2b__cs-qa_cf_cs__Id325,gemma4-e2b,5.1,small,cs-qa,cf,cs,Id325,2-4,"- Československý válečný kříž 1939 | isA | vojenské vyznamenání
- Československý válečný kříž 1939 | country | Liberecký kraj
- Československý válečný kříž 1939 | awardedFor | prokázání vynikajícího činu v nebezpečí života
- Československý válečný kříž 1939 | awardedFor | obětování života
- Československý válečný kříž 1939 | foundingDate | 1939","Československý válečný kříž 1939 je vojenské vyznamenání, které byl založen v roce 1939 a byl udělen za prokázání vynikajícího činu v nebezpečí života a obětování života v Libereckém kraji.",4,"[{""info_used"": ""byl udělen za prokázání vynikajícího činu v nebezpečí života a obětování života v Libereckém kraji"", ""correct_info"": ""Československý válečný kříž 1939 | country | Liberecký kraj"", ""comment"": ""unsupported: The sentence claims the award was given for actions in Liberecký kraj, but the triple only states the award's country is Liberecký kraj, not that the awarded actions occurred there.""}]"
llama4-scout-openrouter__sk-qa_fa_cs__Id344,llama4-scout-openrouter,17.0,medium,sk-qa,fa,cs,Id344,5,"- Kremnica | knownFor | Tazba Zlata
- Tazba Zlata | material | Zlato","Kremnica je známá pro těžbu zlata, které je materiálem těžby.",5,[]
llama4-scout-openrouter__sk-qa_fa_cs__Id292,llama4-scout-openrouter,17.0,medium,sk-qa,fa,cs,Id292,2-4,"- Cerova vrchovina | highestPeak | Karanč
- Karanč | elevation | 728
- Karanč | isAbove | 1000","Cerova vrchovina má za svůj nejvyšší vrchol Karanč, který dosahuje nadmořské výšky 728 metrů a nachází se nad úrovní 1000 není správně zformulováno, proto změna: Karanč, nejvyšší vrchol Cerovej vrchoviny, má výšku 728 metrů. Tato informace neodpovídá informaci, že je nad 1000 proto: Karanč, nejvyšší vrchol Cerovej vrchoviny, má výšku 728 metrů a leží níže 1000.",2,"[{""info_used"": ""Karanč, nejvyšší vrchol Cerovej vrchoviny, má výšku 728 metrů a leží níže 1000."", ""correct_info"": ""Karanč | isAbove | 1000"", ""comment"": ""negation: The sentence says Karanč lies below 1000, but the triple states it is above 1000.""}]"
llama4-scout-openrouter__sk-qa_fa_cs__Id95,llama4-scout-openrouter,17.0,medium,sk-qa,fa,cs,Id95,2-4,- Zemplín | symbol | rieka Laborec,Řeka Laborec je také známá jako Zemplín.,2,"[{""info_used"": ""Řeka Laborec je také známá jako Zemplín."", ""correct_info"": ""Zemplín | symbol | rieka Laborec"", ""comment"": ""reverse: The triple states Zemplín has symbol rieka Laborec, meaning Laborec is a symbol of Zemplín, not that Laborec is also known as Zemplín.""}]"
gemma4-31B__cs-qa_cf_cs__Id384,gemma4-31B,30.7,medium,cs-qa,cf,cs,Id384,5,"- Nejstarší dochovaný most v Česku | location | Písek
- Nejstarší dochovaný most v Česku | country | Prášilské",Nejstarší dochovaný most v Česku se nachází v Písku a v zemi Prášilské.,5,"[{""info_used"": ""v zemi Prášilské"", ""correct_info"": ""Nejstarší dochovaný most v Česku | country | Prášilské"", ""comment"": ""unsupported: 'v zemi Prášilské' implies Prášilské is a country, but the triple states it is the country of the bridge, which is a valid claim. The sentence is fully supported.""}]"
gemma4-e2b__sk-qa_fa_cs__Id239,gemma4-e2b,5.1,small,sk-qa,fa,cs,Id239,5,- Primátor Bratislavy | residesIn | Primaciálny palác,Primátor Bratislavy residesIn Primaciálny palác.,5,[]
gemma4-e2b__sk-qa_cf_cs__Id137,gemma4-e2b,5.1,small,sk-qa,cf,cs,Id137,1,- Bratislava | riverSource | Banská Štiavnica,Bratislava je riverSource Banská Štiavnica.,1,"[{""info_used"": ""Bratislava je riverSource Banská Štiavnica."", ""correct_info"": ""The sentence is not a natural-language sentence; it keeps the raw triple format with the predicate 'riverSource' and the pipe-separated structure."", ""comment"": ""wrong_transform""}]"
gemma4-e4b__sk-qa_fa_cs__Id360,gemma4-e4b,8.0,small,sk-qa,fa,cs,Id360,2-4,"- Jaroslav Slávik | participatedIn | Česko Slovensko má talent
- Česko Slovensko má talent | isA | TV show","Jaroslav Slávik se zúčastnil pořadu Česko Slovensko má talent, který je televizií.",4,"[{""info_used"": ""který je televizií"", ""correct_info"": ""Česko Slovensko má talent | isA | TV show"", ""comment"": ""wrong_object: The sentence says the show is a television (televizií), but the triple says it is a TV show (TV show).""}]"
gpt-oss-120b__sk-qa_cf_cs__Id284,gpt-oss-120b,117.0,large,sk-qa,cf,cs,Id284,2-4,"- Miloslav Mečíř | nationality | slovenský
- Miloslav Mečíř | profession | tenista
- Miloslav Mečíř | achieved | olympijskú zlatú medailu
- Miloslav Mečíř | yearOfAchievement | 1992-01-01 1998-12-31
- Miloslav Mečíř | representedCountry | Československo
- olympijskú zlatú medailu | event | LOH v Soule
- LOH v Soule | year | 1992-01-01 1998-12-31","Miloslav Mečíř je slovenský tenista, který reprezentoval Československo, získal olympijskú zlatú medailu na LOH v Soule a dosáhl tohoto úspěchu v období 1992-01-01 až 1998-12-31. LOH v Soule se konala v letech 1992-01-01 1998-12-31.",4,"[{""info_used"": ""získal olympijskú zlatú medailu na LOH v Soule a dosáhl tohoto úspěchu v období 1992-01-01 až 1998-12-31"", ""correct_info"": ""Miloslav Mečíř | achieved | olympijskú zlatú medailu; Miloslav Mečíř | yearOfAchievement | 1992-01-01 1998-12-31; olympijskú zlatú medailu | event | LOH v Soule; LOH v Soule | year | 1992-01-01 1998-12-31"", ""comment"": ""unsupported: The sentence states that Mečíř achieved the gold medal at the Seoul Olympics during 1992-1998, but the triples only state he achieved the medal, the medal's event was the Seoul Olympics, and the Seoul Olympics took place in 1992-1998. The triples do not explicitly state that Mečíř achieved the medal at that event or during that time period, only that the medal is associated with that event and that the event occurred in that timeframe. The sentence combines these facts into a single unsupported claim.""}]"
