uid,Annotator,prompt_language,triples,sentence,human_faithfulness_score,judge_faithfulness_score,score_difference,human_faithfulness_reason,judge_incorrect_information
gemma4-31B__sk-qa_cf_sk__Id157,3,sk,"- Slovenská lekárska spoločnosť | presidentInYear | 1981-01-01
- Peter Krištúfek | holdsPosition | prezident
- Peter Krištúfek | presidentOf | Slovenská lekárska spoločnosť
- prezidentský mandát | year | 1981-01-01","Peter Krištúfek je prezidentom, pričom je prezidentom Slovenská lekárska spoločnosť, a prezidentský mandát je z roku 1981-01-01, kedy bola Slovenská lekárska spoločnosť v roku 1981-01-01 prezidentom.",5,2,3,To be discussed,"[{""info_used"": ""pričom je prezidentom Slovenská lekárska spoločnosť"", ""correct_info"": ""Peter Krištúfek | presidentOf | Slovenská lekárska spoločnosť"", ""comment"": ""reverse: The sentence claims Slovenská lekárska spoločnosť is the president, but the triple states Peter Krištúfek is the president of Slovenská lekárska spoločnosť.""}, {""info_used"": ""kedy bola Slovenská lekárska spoločnosť v roku 1981-01-01 prezidentom"", ""correct_info"": ""Slovenská lekárska spoločnosť | presidentInYear | 1981-01-01"", ""comment"": ""reverse: The sentence claims Slovenská lekárska spoločnosť was the president in 1981-01-01, but the triple states Slovenská lekárska spoločnosť had a president in that year.""}]"
gemma4-31B__cs-qa_fa_hsb__Id89,3,hsb,"- Jezero Most | created by | zatopením lomu Most–Ležáky
- Jezero Most | openingDate | 2020",Jezero Most było wutworjene zatopením lomu Most–Ležáky a w roce 2020 wotwarjene.,5,2,3,,"[{""info_used"": ""wotwarjene"", ""correct_info"": ""Jezero Most | openingDate | 2020"", ""comment"": ""wrong_predicate: 'wotwarjene' (demolished) contradicts 'openingDate' (opened)""}]"
llama4-scout__cs-qa_fi_cs__Id473,1,cs,"- legenda | describesEvent | zabil svatého Václava
- Boleslav | relationship | bratr svatého Václava
- Boleslav | hasAssociates | jeho družina
- Boleslav se svoji družinou | action | zabil
- zabil | object | Petra Roubíčková","Boleslav, bratr svatého Václava, spolu se svou družinou zabil Petra Roubíčkového podle legendy, která popisuje tuto událost jako zabití svatého Václava.",4,2,2,,"[{""info_used"": ""zabil Petra Roubíčkového"", ""correct_info"": ""zabil | object | Petra Roubíčková"", ""comment"": ""wrong_object""}, {""info_used"": ""podle legendy, která popisuje tuto událost jako zabití svatého Václava"", ""correct_info"": ""legenda | describesEvent | zabil svatého Václava"", ""comment"": ""unsupported""}]"
gemma4-31B__sk-qa_cf_cs__Id373,1,cs,"- Susedia | seriesType | TV Series
- František Stromokocúr | characterIn | Susedia
- Anastasiya Kuzminová | playedRole | František Stromokocúr","Susedia je TV Series, ve které je postava František Stromokocúr, kterou z memainkaná Anastasiya Kuzminová.",3,1,2,,"[{""info_used"": ""z memainkaná"", ""correct_info"": ""Anastasiya Kuzminová | playedRole | František Stromokocúr"", ""comment"": ""wrong_language""}]"
qwen3-1_7b__cs-qa_fa_cs__Id222,1,cs,"- Národní přírodní rezervace | hasName | Soos
- Národní přírodní rezervace | isLocatedNear | Františkovy Lázně","Národní přírodní rezervace je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní přírodní rezervace, která je národní",1,3,-2,,"[{""info_used"": ""(repeated/looping text)"", ""correct_info"": ""The sentence loops the phrase 'Národní přírodní rezervace je národní přírodní rezervace, která je národní přírodní rezervace' at least 10 times."", ""comment"": ""degenerate""}]"
qwen3_5-9b__cs-qa_fi_hsb__Id194,3,hsb,"- Zdeněk Jirotka | authorOf | Saturnin
- Saturnin | publicationYear | 29-06-2025
- Saturnin | genre | humoristický román","Zdeněk Jirotka je awtor humoristiskeho romana Saturnin, kotryž wot 29. junija 2025 wotpowěduje.",5,3,2,,"[{""info_used"": ""wot 29. junija 2025 wotpowěduje"", ""correct_info"": ""Saturnin | publicationYear | 29-06-2025"", ""comment"": ""wrong_predicate: sentence says 'odpovídá od 29. června 2025' (corresponds from), but triple states publication year""}]"
gemma4-31B__cs-qa_fi_hsb__Id381,3,hsb,- píseň Kolej Yesterday | hasAuthor | Martin Růžička,Píseň Kolej Yesterday hasAuthor Martin Růžička.,3,5,-2,,[]
tiny-aya-global__sk-qa_fi_cs__Id264,1,cs,"- nemocnica | hasName | Philippa Pinela
- nemocnica | location | Sitnianský okres
- nemocnica | type | Psychiatrická","Nemocnice v Sitnianském okrese, kterou vede Philippa Pinela, je psychiatrická.",3,5,-2,,[]
qwen3_5-122b__cs-qa_fi_en__Id407,1,en,"- Ivana Doležalová | militaryRank | divizní generál
- Ivana Doležalová | nationality | Československý
- Ivana Doležalová | convictionDate | 1949
- Ivana Doležalová | sentence | trest smrtí
- Ivana Doležalová | trialType | vykonstruovaný soudní proces","Ivana Doležalová, a Czechoslovak national with the military rank of divizní generál, was sentenced to trest smrtí in 1949 following a vykonstruovaný soudní proces.",3,5,-2,,[]
gpt-oss-120b__sk-qa_fi_en__Id391,3,en,- Zálomská dolina | isHighestLocated | pleso,Zálomská dolina is highest located in pleso.,3,5,-2,"hallucinated ""in""",[]
tiny-aya-global__cs-qa_fi_en__Id521,1,en,"- Otto Wichterle | placeOfOrigin | Prostějov
- Jiří Wolker | placeOfOrigin | Prostějov
- Prostějov | locatedIn | Kovárna","Prostějov, a city in the Czech Republic, is the birthplace of both Otto Wichterle, a renowned physicist, and Jiří Wolker, a celebrated poet.",2,4,-2,,"[{""info_used"": ""Prostějov, a city in the Czech Republic"", ""correct_info"": ""Prostějov | locatedIn | Kovárna"", ""comment"": ""unsupported: The sentence claims Prostějov is located in the Czech Republic, but the triple states it is located in Kovárna.""}]"
tiny-aya-global__sk-qa_fi_en__Id368,3,en,"- Zálesná Poruba | isConsidered | neoficiálny symbol Slovenska
- Zálesná Poruba | isMentionedIn | slovenská literatúra",Zálesná Poruba is a neoficiálny symbol of Slovakia and is mentioned in Slovak literature.,3,5,-2,missing considered,[]
tiny-aya-global__sk-qa_cf_cs__Id174,1,cs,"- Vodné dielo Čerenec | liesOn | Najsevernejší bod Slovenska
- Najsevernejší bod Slovenska | isA | potok","Potok Najsevernejší bod Slovenska, Čerenec, protéká.",1,3,-2,,"[{""info_used"": ""Potok Najsevernejší bod Slovenska, Čerenec, protéká."", ""correct_info"": ""Vodné dielo Čerenec | liesOn | Najsevernejší bod Slovenska; Najsevernejší bod Slovenska | isA | potok"", ""comment"": ""unsupported: The sentence claims that a stream named 'Najsevernejší bod Slovenska' flows, but the triples state that 'Najsevernejší bod Slovenska' is a stream and that 'Vodné dielo Čerenec' lies on it. The sentence omits the 'liesOn' relationship and adds the unsupported claim that the stream flows.""}]"
gpt-oss-120b__cs-qa_fi_sk__Id163,1,sk,"- Lažany | locatedIn | Třebčice
- Třebčice | isType | okres",We analysis analysis analysis ... We We... The analysis... analysis... analysis... We... ... ... ... We... ... ... ... ... ... ... ...Lažany sa nachádza v Třebčice a Třebčice je typom okres.,1,3,-2,,"[{""info_used"": ""(repeated/looping text)"", ""correct_info"": ""The sentence contains degenerate repetition of 'analysis' and 'We' before the final clause."", ""comment"": ""degenerate""}]"
qwen3_5-122b__cs-qa_fi_hsb__Id320,3,hsb,- nemocniční areál nemocnice Znojmo | originatedFrom | Rakovník,Nemocniční areál nemocnice Znojmo originatedFrom Rakovník.,3,5,-2,,[]
gemma4-31B__sk-qa_fi_hsb__Id41,3,hsb,"- Slovenská televízia a rozhlas | replacedOrganization | Rozhlas a televízia Slovenska
- Slovenská televízia a rozhlas | replacementYear | 07-04-2026",Slovenská televízia a rozhlas 07-04-2026 Rozhlas a televízia Slovenska zastupił.,5,3,2,,"[{""info_used"": ""zastupił"", ""correct_info"": ""Slovenská televízia a rozhlas | replacedOrganization | Rozhlas a televízia Slovenska"", ""comment"": ""wrong_predicate: 'zastupił' (represented) does not match 'replacedOrganization'""}, {""info_used"": ""07-04-2026"", ""correct_info"": ""Slovenská televízia a rozhlas | replacementYear | 07-04-2026"", ""comment"": ""unsupported: date is presented as part of the entity name rather than as a separate fact about the replacement year""}]"
llama4-scout__cs-qa_fi_hsb__Id306,3,hsb,"- Gavrilo Princip | occupation | atentátník
- Gavrilo Princip | isFamous | true
- Gavrilo Princip | wasImprisonedIn | Ostrovní Vršek",Gavrilo Princip bě atentátník. Gavrilo Princip je wusławy. Gavrilo Princip sedźaše w Ostrovním Vršku.,5,3,2,,"[{""info_used"": ""Gavrilo Princip je wusławy."", ""correct_info"": ""Gavrilo Princip | isFamous | true"", ""comment"": ""unsupported: 'wusławy' is not a valid Upper Sorbian word; the correct adjective is 'sławny' or similar. The claim is not supported by the triple.""}, {""info_used"": ""Gavrilo Princip sedźaše w Ostrovním Vršku."", ""correct_info"": ""Gavrilo Princip | wasImprisonedIn | Ostrovní Vršek"", ""comment"": ""unsupported: 'sedźaše w' means 'sat in', which does not convey imprisonment. The triple states he was imprisoned there.""}]"
gemma4-e4b__sk-qa_fi_hsb__Id341,1,hsb,- HLAS – sociálna demokracia | firstChairperson | Bertold Šarina,Bertold Šarina je prvi predsednik socijalne demokracije.,3,5,-2,,[]
qwen3_5-9b__cs-qa_cf_cs__Id91,1,cs,"- slovo ""robot"" | trueAuthor | Kateřina Bobková-Valentová","Slovo ""robot"" je pravým autorem Kateřina Bobková-Valentová.",3,5,-2,,[]
gemma4-31B__cs-qa_fi_cs__Id162,1,cs,- CHKO Český kras | partiallyLocatedIn | Střípky u Vzduchu,CHKO Český kras se nachází частично ve Střípky u Vzduchu.,3,1,2,,"[{""info_used"": ""частично"", ""correct_info"": ""The sentence should use Czech wording for 'partially'."", ""comment"": ""wrong_language""}]"
qwen3-1_7b__cs-qa_fi_cs__Id37,1,cs,"- Prašivka | isCharacterFrom | Svět Harryho Pottera
- Lucie Vondrová | transformsInto | Prašivka
- Prašivka | isTypeOf | krysa","Lucie Vondrová transformuje se do Prašivky, která je typu krysy a je zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba zhruba z",1,3,-2,,"[{""info_used"": ""(repeated/looping text)"", ""correct_info"": ""The sentence contains degenerate repetition of 'zhruba'."", ""comment"": ""degenerate""}]"
gemma4-e2b__cs-qa_fi_cs__Id306,1,cs,"- Gavrilo Princip | occupation | atentátník
- Gavrilo Princip | isFamous | true
- Gavrilo Princip | wasImprisonedIn | Ostrovní Vršek","Gavrilo Princip byl atentátník, je známý a byl v Ostrovním Vršku v काराznu.",2,4,-2,,"[{""info_used"": ""byl v Ostrovním Vršku v काराznu"", ""correct_info"": ""Gavrilo Princip | wasImprisonedIn | Ostrovní Vršek"", ""comment"": ""unsupported: the sentence adds 'v काराznu' which is not in the triples and is not Czech.""}]"
llama4-scout-openrouter__sk-qa_fa_sk__Id194,3,sk,"- Trojica | represents | Historické Slovenské Národné Hnutie
- Trojica | hasMembers | Štúr
- Trojica | hasMembers | Hurban
- Trojica | hasMembers | Hodža
- Trojica | isMostFamous | true","Historické Slovenské Národné Hnutie reprezentuje a je najznámejším hnutím, ktorého členmi sú Štúr, Hurban a Hodža.",4,2,2,Trojica is missing,"[{""info_used"": ""Historické Slovenské Národné Hnutie reprezentuje a je najznámejším hnutím, ktorého členmi sú Štúr, Hurban a Hodža."", ""correct_info"": ""Trojica represents Historické Slovenské Národné Hnutie; Trojica hasMembers Štúr, Hurban, Hodža; Trojica isMostFamous true"", ""comment"": ""reverse: The sentence makes 'Historické Slovenské Národné Hnutie' the subject that represents and has members, but the triples state that 'Trojica' represents it and has the members. The roles are swapped.""}]"
qwen3_5-122b__cs-qa_fa_cs__Id509,3,cs,"- Město Jeseník | namedAfter | poloha u jesenického pohoří
- poloha u jesenického pohoří | locatedNear | jesenické pohoří","Město Jeseník je pojmenováno podle polohy u jesenického pohoří, které se nachází poblíž jesenického pohoří.",5,3,2,,"[{""info_used"": ""které se nachází poblíž jesenického pohoří"", ""correct_info"": ""poloha u jesenického pohoří | locatedNear | jesenické pohoří"", ""comment"": ""unsupported: The sentence says the mountain range is located near the mountain range, but the triple states the location (poloha) is near the mountain range.""}]"
llama4-scout-openrouter__sk-qa_cf_cs__Id91,3,cs,"- Národna bločková lotéria | declaredBy | ministerstvo financií Slovenskej republiky
- ministerstvo financií Slovenskej republiky | country | Piešťany","Národna bločková lotéria byla vyhlášena ministerstvem financí Slovenské republiky, které je součástí Piešťan.",4,2,2,,"[{""info_used"": ""které je součástí Piešťan"", ""correct_info"": ""ministerstvo financií Slovenskej republiky | country | Piešťany"", ""comment"": ""wrong_predicate: 'country' means the ministry is located in Piešťany, not that Piešťany is a part of the ministry. The sentence claims the ministry is a part of Piešťany, which reverses the relationship.""}]"
qwen3_5-9b__sk-qa_cf_cs__Id306,2,cs,"- Slovensko | locatedIn | Šaštín-Stráže
- Šaštín-Stráže | isA | pútnicky významné mesto
- Šaštín-Stráže | locatedIn | Slovensko","Šaštín-Stráže je pútnicky významné mesto, které se nachází v Slovensku.",4,2,2,"nesmysl v datech (dva triply křížem subject-object), model si vybral jeden","[{""info_used"": ""Šaštín-Stráže je pútnicky významné mesto, které se nachází v Slovensku."", ""correct_info"": ""Slovensko | locatedIn | Šaštín-Stráže"", ""comment"": ""reverse: The sentence claims Šaštín-Stráže is located in Slovensko, but the triple states Slovensko is located in Šaštín-Stráže.""}]"
gemma4-e2b__sk-qa_cf_cs__Id137,4,cs,- Bratislava | riverSource | Banská Štiavnica,Bratislava je riverSource Banská Štiavnica.,3,1,2,,"[{""info_used"": ""Bratislava je riverSource Banská Štiavnica."", ""correct_info"": ""The sentence is not a natural-language sentence; it keeps the raw triple format with the predicate 'riverSource' and the pipe-separated structure."", ""comment"": ""wrong_transform""}]"
